[2025-11-24 16:04:52] Config Loaded: {'project': 'test', 'save_path': './checkpoints/gsm-coconut', 'name': 'gsm-residual-probe', 'only_eval': False, 'coconut': True, 'decoupling_mode': 'residual', 'cot': False, 'no_thoughts': False, 'no_cot': False, 'c_thought': 2, 'epochs_per_stage': 3, 'max_latent_stage': 3, 'pad_latent_to_max': True, 'save_only_improve': False, 'uniform_prob': 0.0, 'model_id': 'openai-community/gpt2', 'load_model_path': 'None', 'seed': 0, 'resume': 3, 'bf16': False, 'train_path': 'data/gsm_train.json', 'val_path': 'data/gsm_valid.json', 'reset_optimizer': True, 'batch_size_training': 32, 'debug': False, 'gradient_accumulation_steps': 1, 'num_epochs': 25, 'lr': 0.0001, 'weight_decay': 0.01}
[2025-11-24 16:04:52] Save Directory: ./checkpoints/gsm-coconut/gsm-residual-probe
[2025-11-24 16:04:58] Initializing Coconut with mode: residual
[2025-11-24 16:04:58] Running FSDP on rank = 0
[2025-11-24 16:06:48] {"epoch": 4, "step": 34, "loss": 1.5368, "avg_alpha": 3.9246, "avg_norm": 1701.0035, "avg_cosine": 0.9625}
[2025-11-24 16:06:50] {"epoch": 4, "step": 35, "loss": 1.5485, "avg_alpha": 4.1124, "avg_norm": 1778.856, "avg_cosine": 0.9789}
[2025-11-24 16:06:51] {"epoch": 4, "step": 36, "loss": 1.439, "avg_alpha": 3.5173, "avg_norm": 1478.6964, "avg_cosine": 0.9405}
[2025-11-24 16:06:53] {"epoch": 4, "step": 37, "loss": 1.5716, "avg_alpha": 4.1387, "avg_norm": 1839.1455, "avg_cosine": 0.9839}
[2025-11-24 16:06:54] {"epoch": 4, "step": 38, "loss": 1.4334, "avg_alpha": 3.9102, "avg_norm": 1685.3813, "avg_cosine": 0.9667}
[2025-11-24 16:06:55] {"epoch": 4, "step": 39, "loss": 1.5023, "avg_alpha": 4.1124, "avg_norm": 1804.6016, "avg_cosine": 0.9719}
[2025-11-24 16:06:57] {"epoch": 4, "step": 40, "loss": 1.3499, "avg_alpha": 3.8078, "avg_norm": 1669.238, "avg_cosine": 0.9661}
[2025-11-24 16:06:59] {"epoch": 4, "step": 41, "loss": 1.3574, "avg_alpha": 4.0111, "avg_norm": 1782.8423, "avg_cosine": 0.9811}
[2025-11-24 16:07:00] {"epoch": 4, "step": 42, "loss": 1.6263, "avg_alpha": 4.2071, "avg_norm": 1864.7439, "avg_cosine": 0.9819}
[2025-11-24 16:07:02] {"epoch": 4, "step": 43, "loss": 1.4298, "avg_alpha": 4.0726, "avg_norm": 1814.4456, "avg_cosine": 0.9871}
[2025-11-24 16:07:04] {"epoch": 4, "step": 44, "loss": 1.3525, "avg_alpha": 3.9171, "avg_norm": 1716.4039, "avg_cosine": 0.957}
[2025-11-24 16:07:05] {"epoch": 4, "step": 45, "loss": 1.3855, "avg_alpha": 4.1186, "avg_norm": 1840.1577, "avg_cosine": 0.9608}
[2025-11-24 16:07:07] {"epoch": 4, "step": 46, "loss": 1.4776, "avg_alpha": 4.2339, "avg_norm": 1913.7637, "avg_cosine": 0.9731}
[2025-11-24 16:07:09] {"epoch": 4, "step": 47, "loss": 1.499, "avg_alpha": 3.9645, "avg_norm": 1716.2805, "avg_cosine": 0.9535}
