[2025-11-25 16:01:24] Config Loaded: {'project': 'test', 'save_path': './checkpoints/gsm-coconut', 'name': 'gsm-residual-probe-update_II', 'only_eval': False, 'coconut': True, 'decoupling_mode': 'residual', 'cot': False, 'no_thoughts': False, 'no_cot': False, 'c_thought': 2, 'epochs_per_stage': 3, 'max_latent_stage': 3, 'pad_latent_to_max': True, 'save_only_improve': False, 'uniform_prob': 0.0, 'model_id': 'openai-community/gpt2', 'load_model_path': 'None', 'seed': 0, 'resume': 3, 'bf16': False, 'train_path': 'data/gsm_train.json', 'val_path': 'data/gsm_valid.json', 'reset_optimizer': True, 'batch_size_training': 32, 'debug': False, 'gradient_accumulation_steps': 1, 'num_epochs': 25, 'lr': 0.0001, 'weight_decay': 0.01}
[2025-11-25 16:01:24] Save Directory: ./checkpoints/gsm-coconut/gsm-residual-probe-update_II
[2025-11-25 16:01:31] Initializing Coconut with mode: residual
[2025-11-25 16:01:31] Running FSDP on rank = 0
[2025-11-25 16:03:27] {"epoch": 4, "step": 30, "loss": 1.5378, "avg_alpha": 0.9686, "avg_norm": 595.2617, "avg_cosine": 0.9788, "reg_loss": 0.4761}
[2025-11-25 16:03:28] {"epoch": 4, "step": 31, "loss": 1.5298, "avg_alpha": 0.9533, "avg_norm": 583.931, "avg_cosine": 0.9733, "reg_loss": 0.4224}
[2025-11-25 16:03:30] {"epoch": 4, "step": 32, "loss": 1.6156, "avg_alpha": 0.9602, "avg_norm": 586.8037, "avg_cosine": 0.9816, "reg_loss": 0.4854}
[2025-11-25 16:03:32] {"epoch": 4, "step": 33, "loss": 1.5055, "avg_alpha": 0.9572, "avg_norm": 588.8925, "avg_cosine": 0.9778, "reg_loss": 0.3765}
[2025-11-25 16:03:35] {"epoch": 4, "step": 34, "loss": 1.5398, "avg_alpha": 0.9111, "avg_norm": 550.9176, "avg_cosine": 0.9696, "reg_loss": 0.3913}
[2025-11-25 16:03:37] {"epoch": 4, "step": 35, "loss": 1.553, "avg_alpha": 0.9235, "avg_norm": 557.6324, "avg_cosine": 0.9777, "reg_loss": 0.3409}
[2025-11-25 16:03:38] {"epoch": 4, "step": 36, "loss": 1.4544, "avg_alpha": 0.8664, "avg_norm": 512.7419, "avg_cosine": 0.9509, "reg_loss": 0.3774}
[2025-11-25 16:03:40] {"epoch": 4, "step": 37, "loss": 1.5649, "avg_alpha": 0.934, "avg_norm": 589.8269, "avg_cosine": 0.9809, "reg_loss": 0.2981}
[2025-11-25 16:03:42] {"epoch": 4, "step": 38, "loss": 1.4402, "avg_alpha": 0.903, "avg_norm": 556.4348, "avg_cosine": 0.9671, "reg_loss": 0.4135}
[2025-11-25 16:03:43] {"epoch": 4, "step": 39, "loss": 1.5114, "avg_alpha": 0.9159, "avg_norm": 572.7305, "avg_cosine": 0.9756, "reg_loss": 0.3148}
[2025-11-25 16:03:45] {"epoch": 4, "step": 40, "loss": 1.3519, "avg_alpha": 0.9094, "avg_norm": 569.4434, "avg_cosine": 0.9705, "reg_loss": 0.3804}
[2025-11-25 16:03:46] {"epoch": 4, "step": 41, "loss": 1.3642, "avg_alpha": 0.9354, "avg_norm": 593.9758, "avg_cosine": 0.9802, "reg_loss": 0.3169}
[2025-11-25 16:03:48] {"epoch": 4, "step": 42, "loss": 1.6453, "avg_alpha": 0.9428, "avg_norm": 596.9536, "avg_cosine": 0.9804, "reg_loss": 0.3217}
[2025-11-25 16:03:50] {"epoch": 4, "step": 43, "loss": 1.4423, "avg_alpha": 0.945, "avg_norm": 603.2856, "avg_cosine": 0.9849, "reg_loss": 0.308}
[2025-11-25 16:03:51] {"epoch": 4, "step": 44, "loss": 1.3533, "avg_alpha": 0.9282, "avg_norm": 594.9717, "avg_cosine": 0.965, "reg_loss": 0.3406}
[2025-11-25 16:03:53] {"epoch": 4, "step": 45, "loss": 1.3827, "avg_alpha": 0.9465, "avg_norm": 614.5504, "avg_cosine": 0.9724, "reg_loss": 0.3503}
[2025-11-25 16:03:55] {"epoch": 4, "step": 46, "loss": 1.4968, "avg_alpha": 0.9559, "avg_norm": 637.6079, "avg_cosine": 0.9757, "reg_loss": 0.2453}
